,temp,pressure,humidity,rain_1h,play
898,280.0,1012.0,93.0,27.0,0.0
899,279.0,1012.0,93.0,23.0,0.0
900,279.0,1012.0,93.0,3.0,0.0
908,279.0,1009.0,100.0,0.0,0.0
910,281.0,1008.0,93.0,11.0,0.0
914,283.0,1006.0,93.0,45.0,0.0
915,283.0,1006.0,93.0,17.0,0.0
918,283.0,1006.0,93.0,0.0,0.0
922,283.0,1006.0,93.0,1.0,0.0
929,281.0,1006.0,93.0,0.0,0.0
935,281.0,1005.0,93.0,0.0,0.0
942,281.0,1002.0,93.0,0.0,0.0
947,280.0,999.0,93.0,5.0,0.0
948,280.0,998.0,93.0,18.0,0.0
950,281.0,996.0,87.0,104.0,0.0
952,282.0,992.0,87.0,59.0,0.0
960,283.0,987.0,81.0,0.0,1.0
964,282.0,987.0,81.0,0.0,1.0
966,281.0,988.0,70.0,0.0,1.0
972,279.0,990.0,81.0,0.0,1.0
975,278.0,988.0,81.0,0.0,1.0
979,278.0,982.0,93.0,87.0,0.0
980,279.0,981.0,93.0,121.0,0.0
982,279.0,979.0,93.0,142.0,0.0
984,281.0,979.0,87.0,0.0,1.0
985,281.0,979.0,87.0,4.0,0.0
987,281.0,980.0,87.0,0.0,1.0
998,273.0,994.0,92.0,0.0,1.0
1002,272.0,1003.0,86.0,0.0,1.0
1004,272.0,1007.0,86.0,0.0,1.0
1006,273.0,1010.0,86.0,0.0,1.0
1008,273.0,1012.0,80.0,0.0,1.0
1010,273.0,1015.0,68.0,0.0,1.0
1017,270.0,1021.0,85.0,0.0,1.0
1025,269.0,1021.0,85.0,0.0,1.0
1028,269.0,1021.0,86.0,0.0,0.0
1036,271.0,1016.0,84.0,0.0,1.0
1039,271.0,1014.0,100.0,0.0,1.0
1040,271.0,1014.0,92.0,0.0,1.0
1041,271.0,1013.0,92.0,0.0,1.0
1044,271.0,1011.0,86.0,0.0,1.0
1047,272.0,1009.0,86.0,0.0,1.0
1048,272.0,1009.0,86.0,0.0,1.0
1051,271.0,1007.0,92.0,0.0,0.0
1054,271.0,1006.0,86.0,0.0,0.0
1058,270.0,1004.0,92.0,0.0,1.0
1059,270.0,1004.0,100.0,0.0,1.0
1061,271.0,1004.0,92.0,0.0,1.0
1064,271.0,1003.0,100.0,0.0,0.0
1065,271.0,1003.0,100.0,0.0,0.0
1073,270.0,1001.0,100.0,0.0,0.0
1078,274.0,996.0,93.0,0.0,1.0
1079,274.0,996.0,80.0,5.0,0.0
1081,274.0,994.0,86.0,27.0,0.0
1084,275.0,990.0,93.0,0.0,1.0
1086,276.0,989.0,100.0,0.0,0.0
1091,277.0,989.0,80.0,0.0,1.0
1097,277.0,990.0,86.0,41.0,0.0
1106,278.0,994.0,86.0,6.0,0.0
1109,278.0,996.0,81.0,4.0,0.0
1113,278.0,1001.0,93.0,0.0,1.0
1114,278.0,1001.0,93.0,0.0,1.0
1116,278.0,1004.0,93.0,0.0,1.0
1123,277.0,1007.0,86.0,0.0,1.0
1125,276.0,1005.0,80.0,5.0,0.0
1126,276.0,1004.0,86.0,0.0,1.0
1127,277.0,1003.0,75.0,31.0,0.0
1130,279.0,1001.0,81.0,0.0,1.0
1135,280.0,1000.0,81.0,66.0,0.0
1137,279.0,1000.0,75.0,0.0,1.0
1139,278.0,1000.0,80.0,0.0,1.0
1140,278.0,1001.0,70.0,0.0,1.0
1147,278.0,999.0,60.0,0.0,1.0
1153,278.0,999.0,70.0,5.0,0.0
1157,278.0,1001.0,75.0,27.0,0.0
1159,278.0,1003.0,80.0,5.0,0.0
1160,277.0,1004.0,80.0,0.0,1.0
1163,277.0,1005.0,86.0,0.0,1.0
1167,277.0,1006.0,86.0,18.0,0.0
1173,276.0,1007.0,93.0,5.0,0.0
1177,276.0,1009.0,93.0,5.0,0.0
1178,276.0,1009.0,86.0,0.0,1.0
1181,276.0,1009.0,86.0,0.0,1.0
1182,275.0,1009.0,93.0,0.0,1.0
1189,273.0,1011.0,92.0,0.0,0.0
1195,270.0,1012.0,100.0,0.0,0.0
1198,270.0,1012.0,100.0,0.0,0.0
1199,271.0,1012.0,92.0,0.0,0.0
1200,272.0,1013.0,92.0,0.0,0.0
1203,273.0,1013.0,100.0,0.0,0.0
1205,273.0,1013.0,92.0,0.0,1.0
1208,273.0,1014.0,80.0,0.0,1.0
1218,272.0,1021.0,80.0,0.0,1.0
1225,273.0,1025.0,68.0,0.0,1.0
1236,272.0,1024.0,86.0,0.0,1.0
1237,272.0,1024.0,92.0,0.0,1.0
1239,272.0,1022.0,86.0,0.0,1.0
1241,272.0,1021.0,86.0,0.0,1.0
1246,273.0,1016.0,92.0,0.0,1.0
1248,273.0,1014.0,86.0,0.0,0.0
1251,274.0,1010.0,93.0,0.0,0.0
1253,274.0,1008.0,93.0,0.0,0.0
1254,274.0,1007.0,93.0,0.0,0.0
1258,275.0,1003.0,93.0,0.0,0.0
1262,276.0,1001.0,93.0,0.0,0.0
1265,277.0,999.0,80.0,0.0,1.0
1270,276.0,1000.0,93.0,0.0,0.0
1271,276.0,1002.0,93.0,0.0,1.0
1274,278.0,1004.0,80.0,0.0,0.0
1277,277.0,1006.0,80.0,0.0,0.0
1280,276.0,1008.0,80.0,0.0,1.0
1281,276.0,1009.0,80.0,0.0,1.0
1288,275.0,1013.0,80.0,0.0,1.0
1289,275.0,1013.0,80.0,0.0,1.0
1290,274.0,1013.0,80.0,0.0,1.0
1293,274.0,1015.0,74.0,0.0,1.0
1295,273.0,1016.0,86.0,0.0,1.0
1297,276.0,1016.0,74.0,0.0,1.0
1299,276.0,1017.0,75.0,0.0,1.0
1300,276.0,1017.0,75.0,0.0,1.0
1305,274.0,1018.0,86.0,0.0,0.0
1309,273.0,1019.0,100.0,0.0,0.0
1312,273.0,1019.0,100.0,0.0,0.0
1316,273.0,1019.0,93.0,0.0,0.0
1318,273.0,1020.0,93.0,0.0,0.0
1319,274.0,1020.0,86.0,0.0,1.0
1323,276.0,1022.0,86.0,0.0,0.0
1325,275.0,1023.0,86.0,0.0,0.0
1326,275.0,1023.0,86.0,0.0,0.0
1333,274.0,1026.0,86.0,0.0,0.0
1336,274.0,1027.0,86.0,0.0,1.0
1337,275.0,1027.0,86.0,0.0,1.0
1341,274.0,1029.0,92.0,0.0,0.0
1346,275.0,1031.0,86.0,0.0,0.0
1348,276.0,1031.0,93.0,0.0,0.0
1349,275.0,1031.0,86.0,0.0,0.0
1351,275.0,1032.0,93.0,0.0,0.0
1356,274.0,1033.0,100.0,0.0,0.0
1358,274.0,1033.0,100.0,0.0,1.0
1361,274.0,1032.0,86.0,0.0,1.0
1377,274.0,1022.0,93.0,0.0,0.0
1379,274.0,1020.0,93.0,0.0,0.0
1380,274.0,1019.0,93.0,0.0,1.0
1381,274.0,1019.0,86.0,0.0,1.0
1383,274.0,1017.0,86.0,0.0,1.0
1391,272.0,1011.0,80.0,0.0,1.0
1398,276.0,1006.0,69.0,0.0,1.0
1404,275.0,1002.0,74.0,0.0,1.0
1405,275.0,1002.0,74.0,0.0,1.0
1413,277.0,1003.0,80.0,33.0,0.0
1415,277.0,1004.0,80.0,0.0,1.0
1417,277.0,1005.0,75.0,0.0,1.0
1429,275.0,998.0,74.0,0.0,1.0
1433,274.0,995.0,80.0,0.0,1.0
1435,274.0,993.0,80.0,0.0,1.0
1436,274.0,993.0,86.0,0.0,1.0
1438,273.0,993.0,100.0,0.0,1.0
1440,273.0,994.0,100.0,0.0,1.0
1447,274.0,993.0,93.0,0.0,1.0
1455,273.0,992.0,93.0,0.0,1.0
1456,273.0,992.0,93.0,0.0,1.0
1466,274.0,997.0,86.0,0.0,1.0
1469,274.0,998.0,86.0,0.0,1.0
1470,274.0,998.0,80.0,0.0,1.0
1472,274.0,999.0,86.0,0.0,1.0
1474,274.0,1000.0,86.0,0.0,1.0
1476,274.0,999.0,86.0,0.0,1.0
1479,275.0,1000.0,86.0,0.0,1.0
1484,274.0,999.0,86.0,0.0,1.0
1485,274.0,999.0,86.0,0.0,1.0
1487,274.0,999.0,93.0,0.0,1.0
1493,274.0,1002.0,74.0,0.0,1.0
1496,272.0,1002.0,86.0,0.0,1.0
1497,272.0,1002.0,86.0,0.0,1.0
1499,272.0,1002.0,92.0,0.0,1.0
1503,272.0,1001.0,92.0,0.0,1.0
1508,272.0,1003.0,92.0,0.0,1.0
1511,271.0,1005.0,92.0,0.0,1.0
1515,273.0,1007.0,86.0,0.0,1.0
1522,272.0,1013.0,80.0,0.0,1.0
1523,272.0,1014.0,86.0,0.0,1.0
